product_id,quantity
101,472
102,345
103,127
104,489
105,256
106,378
107,294
108,431
109,153
110,287
111,499
112,324
113,176
114,452
115,231
116,398
117,142
118,376
119,265
120,483
121,198
122,341
123,279
124,456
125,132
126,387
127,254
128,471
129,196
130,333
131,289
132,465
133,174
134,392
135,247
136,481
137,213
138,366
139,284
140,459
141,167
142,394
143,238
144,477
145,192
146,351
147,296
148,463
149,181
150,408
151,263
152,486
153,204
154,339
155,291
156,468
157,186
158,413
159,242
160,490
161,209
162,364
163,298
164,475
165,221
166,382
167,267
168,494
169,233
170,356
171,302
172,479
173,188
174,421
175,276
176,453
177,194
178,337
179,311
180,466
181,202
182,389
183,258
184,491
185,227
186,374
187,293
188,448
189,169
190,416
191,281
192,487
193,206
194,363
195,317
196,474
197,244
198,399
199,325
